Gene,Trial_Gene
MTBT1,-0.003892041
NPFF,0.030445167
KIAA0390,-0.023876051
FGF9,-0.075193086
USP6,0.005622176
MCSP,-0.013347884
SCYA13,0.013990808
KIAA0416,0.043319454
TIAM1,0.102759299
NR0B2,0.011863624
ABL2,0.07973281
FER,-0.001627108
TCL1B,0.022785796
DDEF2,-0.298618563
ZNF205,0.068203296
CNGA1,-0.081389887
NOX1,0.107782952
RORC,0.040728084
IGSF6,-0.267493479
SERPINB7,0.005486204
GCG,-0.317446851
CTD6,-0.016450234
CYP26A1,0.137677839
TRPC3,0.003648771
MLANA,-0.093853447
ZNF143,0.001472134
F2RL1,-0.099847921
CDX1,0.046113873
KIAA0676,-0.004208198
HAS2,0.100022148
HSAJ1454,-0.055787292
GALGT,0.07602215
C22ORF1,0.068228461
EDG6,0.048492358
FLJ12975,-0.004229715
DSPG3,0.227464534
VELI1,0.161306902
FLJ20452,-0.00116426
SEMG1,0.106749562
RORB,0.13752592
PDE1B,0.041719498
HRMT1L2,-0.013449922
ELA1,0.008312365
ELA1,0.18272037
KIAA0844,0.109297761
MASP1,0.005856647
DBH,-0.022910088
FLJ10560,-0.03979154
PPP2R4,-0.001873438
NDRG2,-0.152191979
RHO,0.011886448
GABRA5,0
DIO1,0.000410045
WNT2B,-0.002687167
WNT-2B,0.016925975
MOT8,0.360541043
MT1H,-0.031620017
NTRK3,0.007549863
HEP27,0.020040239
BMX,0.299847485
KIAA0631,-0.05112298
TNFRSF6B,-0.002704593
LOC51603,0.014217054
AKR7A3,-0.023242554
PLXNC1,-0.185494414
PLXNC1,-0.016363241
TLE3,0.046622561
S2P,-0.052646693
PCTK2,-0.138143094
CSH1,0.010011978
NOVA2,0.007894058
KIAA0125,0.133049395
MLSN1,-0.091323758
LTC4S,0.079024229
LDB2,-0.007218434
PTK6,0.02478626
TSLRP,-0.086370249
XPNPEP2,0.035891187
CD5,0.007688519
LAG3,0.010769393
KIAA0810,0.060194263
CD36,-0.022639965
DLGAP1,0.009451716
DLGAP1,-0.278605953
NAPA,-0.003150354
FHIT,-0.234229534
ITGA2B,-0.022035631
ITGA2B,0.005553768
DKFZP434F162,0.0231199
FMO3,0.033319905
FLJ10803,-0.013519695
OCA2,-0.087463505
CHC1,0.023131817
FLJ11186,-0.067053335
ETV1,0.008483485
INSM1,0.001307399
PML,0.002376569
CYP24,-0.334109361
UGT2B4,0.040799484
SUPT3H,-0.006011271
KIAA0426,-0.127434415
TNFSF7,0.046307976
PIP,-0.056494564
SIX2,-0.003870989
SIX2,0.008527372
U2AF1RS1,0.364510351
AIM2,0.05836953
CYP4F3,-0.110067368
AMH,-0.111223998
CDH16,0.460935774
RGS9,0.015876113
SIGLEC6,0.000384057
GTF2A1,0.005332778
MGAM,0.396094741
PSCD3,0.147991128
T,-0.00466939
GABRR1,0.40272419
DKFZP566F0546,-0.123560034
ABAT,-0.016666145
TRPC6,0.39174296
SLC26A4,-0.001847187
RAB30,-0.132837421
NEUD4,0.051331541
SMARCB1,0.062171413
CHRNA5,-0.249441284
GRIN2A,0.194985165
SLC2A2,0.149676399
BIRC4,0.161304433
MRAS,0.129296035
CYP4F12,-0.033831884
MGC10771,0.087106965
KLKB1,0.065765357
SMARCA2,0.213488869
SMARCA2,-0.009970194
CD28,-0.303554307
SYCP2,0.009636382
PPEF1,0.000875972
FLJ23556,0.117947273
INSL4,0.069964088
NUP155,0.023415155
FLJ20059,0.001560625
TAC1,0.12961527
OAS2,-0.001341446
SETMAR,-0.07459756
FLJ20274,-0.31217244
CLUL1,0.002213566
FLJ12985,-0.588845805
SIM2,-0.083559471
EEF1A1L14,0.002205488
MIA,-0.010404856
AKR1B10,-0.002231359
CSNK1A1,-0.006501406
ORL1,0.013943461
OPRL1,-0.112113917
SMA3,-0.017169995
SLC7A1,0.276024661
LOC51230,0.002597726
TNP1,0.021885403
ST16,0.084170824
PSG11,0.012798574
MAP4K4,-0.132381108
ZNF85,-0.00911326
KCNQ3,-0.001154171
PTP4A3,0.001013391
STK9,-0.036909568
CEACAM1,0.090287106
VIP,-0.08591799
CSX,0.03966655
ZNF192,-0.192553617
EFEMP2,-0.044960417
BNC,3.610421556
GPR56,0.019848871
FLJ20344,-0.076719819
MD-2,0.655215066
MKRN3,0.045167063
CNR2,0.141689185
CCT6B,-0.366287684
DAZL,0.095992231
GFI1,-0.174380335
DRD2,0.01219216
RAG1,-0.279191329
AP3D1,0.012039432
SURF5,0.043930471
KIAA0135,-0.359176328
CST6,-2.624653539
nrl,-0.004103676
NRL,0.081090701
INS,0.333208603
SLC16A5,-0.264804504
SLC16A5,-0.092287224
HOXD3,0.005168703
SLC2A4,0.013713388
OVOL1,0.057159676
P11,-0.199534703
LIPC,0.090777702
CBL,-0.062201368
RPGRIP1,-0.001367913
MAGEC1,-0.22243825
F11,0.010570516
AF038169,-0.073072418
CACNG1,-0.057268122
TAF1A,0.004069588
GDF5,-0.001971955
ADAM22,0.005878519
ADAM22,0.006760567
RENBP,-0.004225725
IL18R1,0.404298025
DKK4,0.163773515
GRAP,0.002648361
WBSCR1,0.010839956
TRH,0.020738128
PDE6A,-0.05078346
USP9Y,-0.328870632
RDS,0.024458981
SSX1,0.005088322
SLC5A1,-2.938685367
KIAA0605,0.159300636
TYR,-0.042909149
PTGER2,0.507706158
DJ742C19.2,0.014154952
CHRNA1,-0.065530518
SIX3,0.180259404
CHRNB2,0.021948177
RASA2,0.137870593
KIAA0001,0.081588554
HTR2B,-0.18865601
HTN1,-0.002795008
GAGE7B,-0.005296084
TNFRSF17,-0.268239792
DSG1,2.126899943
HAL,-0.022735862
NR0B1,0.384338533
NR0B1,0.007589523
GLI,0.008401865
HBZ,-0.045314308
HSPC059,-0.250949122
TFE3,0.022026175
FLJ10547,0.05787806
LOC51745,-0.005238693
HSPC050,-0.079419185
RPC32,0.006039299
GP1BB,-0.010034078
MYOD1,0.020701518
MGC10902,-0.069028734
FLJ14082,0.051761935
IGLL1,0.041873407
FLJ13087,-0.0789719
GLRX,-2.702659667
SP4,0.179065734
SI,-0.056725981
BCL2L1,0.086447752
GZMK,0.15882839
SCAMP1,-0.049275708
SCAMP1,-0.013076186
GAD1,0.190093809
GAD1,0.027734001
SAG,-0.036202751
AQP2,0.055259217
GPR,0.001686436
FLT3,0.074660271
SKIL,0.113683052
NCA,-0.011743254
KRTHA1,-2.753682279
GABRA1,0.021702108
APBA1,0.084152427
CD5L,0.232428428
GP2,0.010910243
HML2,0.233229931
ZNF165,0.143015292
ATF7,0.003647041
HCGIV.9,0.066828376
PDK1,-0.382919029
PTPN6,-0.020433074
CPSF4,0.010266835
HTATIP,0.000142527
ACCN1,-0.022180029
PDI,0.005727887
KCNJ10,-0.124720944
IL7,-0.164578762
PNLIPRP1,0.163760486
ZNF43,-0.016935393
OA1,-0.035722483
HP,0.011535035
XK,0.405359039
NPAS1,0.02008521
SMCY,0.002237509
EDNRB,-0.046675754
TEK,0.575332714
CHRNB1,0.12422847
CLCN5,0.22600439
TULP1,0.025377844
NTF3,-0.030088475
C6ORF32,0.01677251
HTLF,0.174094779
GPT,-0.005484485
KIAA0987,-0.007037471
CXORF1,0.231633807
FLJ22474,-0.04841459
KIAA0976,0.332497189
ALOX15B,3.178578519
TFEC,0.163909854
UMOD,-0.020778381
MYH8,0.107724088
LMO1,-0.103349985
SYNGR4,-0.071322358
MGAT5,0.038180559
LOC57821,0.425366482
EDG4,0.012801623
CBX4,0.283103957
BMP1,0.027819206
PGDS,0.006654368
C9,0.294249557
KIAA0604,0.021869384
TNFRSF8,-0.054671076
GRIA3,0.059499765
KIAA0902,0.003802286
KIAA0848,-0.019840447
TULP2,-0.138065052
JRKL,-0.039876177
CHRNA4,0.080826936
nAChR,-1.23E-05
WNT11,0.176284824
APOC4,-0.089403973
HOXC5,0.016742701
SYCP1,0.001569243
LOC51066,-0.098433939
FIGF,-0.285171469
ASGR1,-0.000827234
ZNF237,0.000956663
HOXC11,0.009059706
BFSP1,-0.204224612
KIAA0514,-0.096195279
SPAG9,0.011998727
CD1B,-0.032786729
MAFK,0.005058228
PCYT1B,-0.014066119
DFFB,-0.038069149
CYP2B6,-0.02226111
CYP2B6,-0.024084892
CHST7,0.046611736
PDE5A,0.118780179
EDN2,-0.220008413
FCER2,-0.013462795
FCER2,0.019510689
TACTILE,0.090505322
KCNA5,-0.078326291
FKBP6,0.118046684
FLJ11585,-0.000353568
KCNJ2,0.108357222
ITGA10,0.015171159
RBMS3,-0.061906702
RPL3L,-0.265292636
TMSB4Y,0.019834882
SLC35A3,-0.001470451
UPK3,0.079651378
PTHR2,-0.013652089
LY6H,0.073229826
KIAA0967,0.130830966
CUBN,0.171249743
ACRV1,-0.000611617
CRYBB2,0.095593395
CRYBB2,0.045530809
ASMT,0.002105319
GAD2,-0.094153116
HSPF2,0.089201267
HSPF2,-0.004317162
AQP8,0.033945692
KLRC2,-0.004086632
HTN3,-0.568724618
BRDT,0.1680146
POU2F1,0.069252097
NDUFB1,0.003630064
PDE4C,0.006724643
PNMT,0.001816036
ERBB4,-0.011717429
F2RL2,-0.256901971
WISP1,-0.331837083
NAT2,-0.207954009
DLEC1,0.007365926
LPHB,0.155796194
MTHFR,-0.037766547
NPPB,0.144675449
PAX5,0.026303131
PDYN,0.121475044
CD3G,0.160164295
SEMA3A,0.035958479
DGKI,-0.107297746
ADD2,0.002331799
FBRNP,-0.176213195
FBRNP,-0.001604301
GIOT-2,0.200643823
ADCY8,0.014464611
ADRB3,-0.025123816
CTF1,0.074615864
NGFB,0.178807333
SPAG8,-0.064465782
SPAG8,0.033997212
TNRC4,0.010910802
FLJ20064,0.021782621
DKFZP434P211,-0.182965807
RAB-R,0.025407368
RAB-R,0.006619854
DKFZP586P1522,0.004338457
DKFZP586P1522,0.047827334
LOC51716,0.150577753
OXTR,0.050359109
PMP2,-0.1616982
ABPZF,0.016947882
TXK,-0.077320626
FLJ13659,0.018948252
SLC4A10,0.050326235
ARSD,0.007138747
SEMA3F,-0.060534573
ACYP2,0.009858587
HBD,0.024157552
STATH,0.064945896
SLC6A3,0.046318481
CART1,-0.040895308
TBX19,0.024088189
HS747E2A,0.09315589
AFM,-0.304034132
PDE6H,-0.118479602
KCND1,-0.013967384
CRYBA4,0.070737113
FBP2,0.052319852
KIAA0661,0.021936257
HDAC6,-0.005010092
HOXA7,0.006296336
HOXA7,-0.174995437
GABRG2,0.051838516
RRP22,-0.006221955
RNASE3,0.044794366
EPHA7,-0.206528582
MAP3K7,0.020578245
HYAL2,-0.005852201
LILRB5,0.028751489
FKBP1B,-0.01047618
HOXC6,-0.029014195
PAEP,-0.002329369
FLJ20323,-0.013212208
CGGBP1,-0.213757387
ZNF254,0.122123046
HRK,0.024364695
HRK,0.013735201
HRK,0.057951949
CDH4,0.253420817
GCKR,-0.031341791
KIAA0189,0.075987397
CHAD,-0.042786209
PPARA,-0.108131075
ELA2,0.024507085
SLC17A1,-0.20718345
CA6,-0.124090688
KIAA0204,0.008581721
MAD,0.234481503
DAO,0.161815166
NRG2,0.003071429
P2RXL1,0.020025638
LILRA3,0.002945026
SLC1A6,-0.189485019
GP9,0.012334978
SCEL,0.016646712
GH1,-0.001238312
GH1,0.003341882
CCBP2,-0.030013962
ARHGDIG,0.16389216
IL12RB1,-0.011398359
ACTN3,0.088783945
AMHR2,0.003762378
SALL1,0.019006817
APOA4,0.083584265
PPP1R3,-0.253933766
GNG7,-0.001019399
GAGEB1,-0.125049468
CDH19,0.511123022
NTSR2,0.138873042
LOC56242,-0.018372223
MGC11271,0.038283027
ENDOGL2,0.005406006
ENDOGL2,0.028878521
CRTM,0.106311775
MATN1,0.015884652
ICAM5,0.017326367
TNFSF9,-0.014198823
CLDN11,0.023925234
OSP,-0.004964432
HFL3,-0.003848659
ZNF147,0.108296639
FOXE1,-0.113536693
BAAT,0.007185124
CRTAM,0.023877539
NKX2B,0.302376392
TAT,-0.01136159
GNA13,0.081588815
CPNE1,-0.032023709
ELK4,0.0785092
GLE1L,-0.019715564
GLE1L,-0.210348657
VCY,0.064237435
PRKCA,0.127851568
IL11,0.093357395
SIAT8D,0.159274333
IL11,0.02231257
GUCY1A2,0.004363828
ZNF124,0.209659673
NFIC,-0.039039285
GAT,-0.158307512
ZNF141,-0.441907454
CH25H,-0.110992832
H6PD,0.002591467
SIRP-BETA-1,-0.094697226
PCDH8,-0.244288281
PRO2849,0.001400522
SPTA1,-0.331936655
SRD5A2,0.323839346
DCC,0.12217819
POU4F1,0.008000144
SEMA3E,0.002551414
PMCH,-0.001727812
TGFBR1,-0.070922492
LCT,0.012632762
HCN4,0.05843526
B3GALT5,-0.225927868
NEU3,-0.056180245
NESCA,-0.00233685
SCN9A,0.283819443
H4FJ,0.006889393
G6PC,0.197986688
KIAA0786,-0.286973163
WIT-1,0.038165132
AQP7,-0.034905469
BGLAP,0.085824601
TLH6,0.309283148
UPF3,-0.020997539
UPF3A,-0.01319898
GPR23,-0.054897285
TRFP,0.0010122
PRO0214,-0.004387418
CML2,0.014568977
CML2,0.012758507
LOC51717,-0.279298857
LOC51717,-0.004551614
CCNT1,-0.042788209
NFRKB,-0.006784894
KRTHA4,-2.39611248
CNTN2,0.046016522
RE2,-0.016816554
RE2,-0.024693198
PPFIA2,0.043976149
TYMSTR,0.066520066
LTA,0.174698313
HSP105B,0.012131596
PTH,-0.027564651
CCR2,0.142581579
C8B,0.012741999
FLT3LG,-0.012307222
SCN4A,0.078849616
CRYBA1,-0.331407298
CCR6,0.023946153
RIN,-0.000488613
HSD17B3,0.088353227
FGF18,0.002242747
SCYA25,0.151784283
SFRS2IP,0.164240495
TNR,0.229392625
CCR5,0.01286106
HSU79253,0.013508611
HSU79253,-0.095419948
CST4,-0.040848597
SREC,0.001322612
CACNB1,0.006857256
HS6ST,-0.002518508
PRB3,0.024665172
IL12RB2,-0.298017658
PPP3CC,-0.007310619
DSIPI,0.095407467
PLAGL1,-0.046795148
GUCA1B,0.183835511
BCL2,0.049772396
BCL2,0.013741186
HSU79303,-0.006463695
NR1I3,0.013513719
IL8RB,-0.465181764
PMX2B,0.080679783
GABRB1,0.057400117
PTK7,-0.026492958
GABRA2,0.09496522
RALDH2,0.012949143
RALDH2,0.015725508
RAB27B,-0.059944114
RAB27B,0.004775781
AKAP4,0.001986304
HSF2BP,-0.126374004
SP38,-0.110121312
LDHC,-0.007577014
KRT10,-0.026142778
CHRND,0.015595111
CX46.6,0.043554189
ATP2B3,0.003066387
HGFAC,0.130374572
NCYM,0.027778122
KITLG,-0.075427653
CSRP2,0.166176085
BAPX1,0.026563089
AEGL1,0.004035638
GIF,0.156658259
GLI2,0.002768436
SLC30A3,0.010281402
GRIN2D,0.019242054
TNFRSF11A,-0.316658674
SLC16A6,0.011072105
CDKN2A,0.142486445
ST13,0.004179306
MASP2,0.062742823
E2F2,0.021174997
SLC6A9,0.013227804
THRB,0.051789396
FLJ20097,0.160301893
H4F2,-0.271016305
CLCNKA,-0.000586152
SLC6A11,0.023334508
SCN8A,-0.048893008
CACNA2D1,0.008958236
SLC17A4,0.080887659
HAVCR-1,-0.312487522
SLC8A1,0.035834961
IMPG1,-0.132990201
ET(B)R-LP-2,0.070062152
SLC4A8,0.011661405
SLC16A7,-1.466684499
PARK2,-0.001897766
PAX9,0.263458623
EN2,-0.023933175
ERN1,0.07957635
IAPP,-0.031702569
PRO2834,0.091235265
AOC2,0.017097514
K6HF,-0.436544241
HRC,0.037234039
HDC,0.006451675
ZFP37,-0.456302094
MADH6,-0.009353758
RGR,0.013139274
ACO1,-0.036838003
IL18RAP,-0.024293552
CDKL2,0.028132772
SLC18A1,0.000326147
C1ORF7,-0.064623936
ASS,-0.00584007
LOC51032,0.181839076
MED6,-0.059445784
MED6,0.030159019
PYY,0.002036942
PIK4CA,0.005061286
CSF1,-0.149112886
FLJ20241,0.011494735
POU3F2,0.09305124
CSF2RA,0.034243991
GAGE4,-0.004871401
ANK1,0.005936812
SLC25A11,-0.007804248
ANK1,-0.070738848
KIAA0961,-0.042952642
P2RX7,-0.060324071
LEP,-0.633620595
OMG,-0.004168451
IL8RA,-0.010918083
SLC10A2,0.183588181
SAA4,0.016324196
SLC17A2,0.006915684
FLJ20693,0.014554576
CHM,-0.011761262
VAMP1,0.004752843
VAMP1,-0.073327157
AKR1D1,-0.028113932
KCND2,0.376877651
LILRB1,0.010648097
PIK3R2,2.34E-05
LTK,0.032812663
RPE65,-0.030963557
IDN3,0.019491105
11-Oct,0.054703111
KCNJ12,0.102192297
EMR1,-0.052996761
GAB1,0.019083632
TNF,0.012690296
G6C,0.095686506
FLJ20055,0.009799493
GAPDS,0.021834481
H-plk,0.113593423
MMP23A,-0.001642932
PRKG1,0.000875343
FLJ14011,-0.194846709
MAPK6,-0.002531854
SULT1A2,-0.007606316
MATN4,0.017513054
GNB5,-0.01787373
ZNF225,-0.097358532
UGT1A1,0.248435909
HNRPH3,-0.156840668
ZNF223,-0.031311548
CA5B,0.003928644
PRO2893,0.037520613
GGT1,-0.017222535
PFDN5,-0.00014983
FLJ22670,0.001559716
TPSB2,0.022389129
HTR2A,0.059805774
ARR3,0.016329362
NFKBIL2,0.017500301
PHF2,0.028946449
ATP4A,0.011425271
ALPI,0.08426898
KCNJ3,0.073030834
CDK6,-0.024432203
CITED1,0.003600577
GDF8,0.13053289
KRTHA2,0.024821653
DLX2,-0.097320835
CS-1,0.010425479
SLC18A3,0.146523625
ADCYAP1R1,-0.19474792
NTRK2,0.004726348
FAP48,-0.043001218
DIO3,0.064442158
TBX5,-0.308143986
H2AFP,-0.334101175
GNG5,0.007391338
APOBEC1,0.045564865
KIAA0616,0.016446098
IL12A,0.249054318
KIAA0087,0.365291166
CACNA1B,0.013180003
AKT1,0.002013765
ZNF238,-0.005412805
HMMR,-0.971298311
GNGT1,0.43699626
IGSF2,0.100368618
H2AFY,0.002170783
DDR1,-0.019320437
DKFZP586A011,-0.016112028
CDH11,0.041015044
osf-4,0.127869763
GPC5,-0.096960501
APM1,-0.275704153
CD80,-0.006621417
PTGFR,-0.191891008
FRK,-0.027529684
HOX11,0.108526597
TIP30,-0.019787516
CASP7,-0.054406079
GABRA6,0.104564118
GPR19,-0.108900688
SLC6A13,0.01215271
SLC10A1,0.006500714
FALZ,0.004409991
JAK3,0.029817385
CDK3,-0.013346385
KIAA0399,0.013426168
KIAA0399,0.162081549
ISLR,0.003375401
AGRP,0.031605235
ICAM4,-0.023414689
CNTN6,0.058036086
NAF1,-0.265943786
ZIC3,-0.405092183
LIMS1,-0.167661828
TERT,0.041471347
OTC,-0.323075661
SLC22A1,-0.002089191
NR1I2,0.013711057
FSCN2,0.264978958
CEACAM4,0.02366039
ALOX12,-0.012428551
hnRNPG-T,-0.305184693
HNRNPG-T,0.099273257
CETN1,-0.039256267
GABRA3,-0.233986533
UBP41,0.054998918
SLC9A3,-0.020792713
USP2,0.106684367
PEC-60,0.012555495
HS322B1A,-0.049196217
TNFSF8,0.056774138
NOX1,0.004909063
F9,0.181595192
LOC65243,-0.006213957
ART4,-0.045344437
F2RL3,0.130301568
PLA2G10,-0.264060495
ROD1,0.046138326
LOC51766,0.002686563
AANAT,-0.109127778
H2BFD,0.117655558
RFPL2,0.003293626
PRKACG,0.039320611
KLRA1,-0.077148102
CDO,-0.173924293
KIAA0675,-1.008527834
KIAA0675,-0.02491485
MITF,0.02109294
RFX3,0.159174033
GRM5,0.007504726
ZNF10,0.449077617
KCNA3,-0.114582856
PTPRC,0.00538184
PCTK1,0.019461301
LHCGR,-0.000903138
C4ORF6,-0.102014544
GRIK1,0.005883493
CALM2,0.003890372
CYP2A6,0.021218347
UGT2B17,-0.157588763
ZFY,0.000749844
ZFY,0.041995093
KCNA4,0.023051436
SLC28A2,-0.002735137
SIX6,-0.143014833
MEP1B,0.180414372
INE1,0.054346035
UBN1,0.025295666
SLC15A1,0.145714724
LEPR,-0.089104915
MBL2,0.172514894
EPO,0.080269711
DSCR4,-0.027369033
FLJ20694,0.211916044
HSRNAFEV,0.041941701
CNGA3,0.234141306
APOF,0.327570796
DKFZp761C241,0.008064611
KDELR3,-0.17515642
KDELR3,-0.006791997
RBMS1,-0.145761904
DSCR6,0.002493718
AIP-1,0.020204044
DEFA4,0.056240477
CMRF35,0.003437039
HE2,0.010074736
ZNF80,0.13848945
LOC51038,0.269916859
CHRNE,0.041104944
FACL1,0.299657768
CDR1,0.219248286
CD209,0.02922154
LOC51739,-0.015812587
AGTRL2,0.142335805
VCX-2r,0.016038346
MYOG,0.023739465
DKFZp547I014,-0.005590172
LOC56921,-0.007771474
CSHL1,0.004201881
FLJ13621,0.110562163
FLJ14107,0.018863022
FLJ13330,0.058782913
MMPL1,0.073378763
PLXNA2,-0.112841255
TMG4,3.920720498
MAPK7,-0.007040015
AGTR2,-0.007662873
SCNN1G,0.14759603
MGC10715,-0.19049166
SLC17A3,-0.00462622
GRM1,0.003055182
F7,0.010942402
EFNA5,0.053891037
SGCG,0.652654598
PDE1C,0.450652917
ZNF45,-0.104023658
KIAA1012,0.015955619
TCF15,0.096252489
HTR2C,0.404896257
SLC21A3,0.073030253
NOS1,0.019398043
NOS,0.008099303
DOC2B,0.006408856
PHKG1,0.038200244
KIR3DL2,0.009400652
HAS1,-0.013522291
CASQ2,0.009134823
CDC2L5,0.024255348
CDC2L5,0.012229656
STAU,0.003907608
ABCB9,0.019933484
ITSN1,-0.016331337
MBP,0.00778599
DSC1,0.250487853
MAGEA1,-0.001342707
BTC,-0.316768281
EYA4,0.172639419
ALOX15,0.163020107
MMP8,0.174436975
PZP,-0.151373036
CENPF,-0.052093518
TFRC,-0.017564564
NMBR,-0.107831199
TGFBR2,0.014179342
ATP5I,0.147767318
SOX5,-0.08561742
CTAG2,0.724263077
ZNF200,0.00610769
LTB,0.032463876
PRTN3,0.395561774
CNGB1,-0.080940155
LOC57151,0.001533543
AKAP3,-0.150411765
FST,0.035296635
EPIM,-0.065806829
ERCC6,0.154999274
LIG3,0.032898016
UCP3,0.008937027
VAMP4,0.038852244
SH2D2A,0.03331134
GABRB2,-0.003565288
HMX1,0.014781434
SCYA16,-0.001102414
SLC1A7,-0.001175723
DEFB2,0.074916334
DKFZp586H0623,-0.006028377
ACF7,0.011890395
CAMKK2,-0.007646892
NTSR1,-0.005020213
HBP1,0.526803312
SLC30A4,-0.193183703
RS1,-0.124373916
CXORF2,0.036354517
KIAA0570,-0.002293528
KCNS1,0.1058812
ATP12A,-2.644306305
HTR1D,0.112109995
IBSP,0.362114119
HSMCR30,0.403040864
ENTPD2,0.005448595
HOXD10,-0.091988001
PLSCR2,0.04198019
IL15RA,-0.02304438
HPX42B,0.100749046
I-4,0.091402788
TREH,0.003951256
EDIL3,-0.083260021
NOX1,0.0116062
ALOX12B,0.753929593
TP63,0.177808796
RHBDL,-0.050582749
PGLYRP,0.03364785
LOC51270,-0.172571299
CYP7B1,-0.139033041
GK,0.007396625
PTGES,-0.028597501
GP1BA,0.059443265
SMTN,0.095762522
PIP5K1A,-0.298604776
UGT2B15,0.015716328
HCRTR2,0.262370221
ZNF137,-0.015150777
BTN1A1,-0.327989938
NOT56L,0.009591459
HOXD13,-0.000768558
HOXD13,0.091015923
BFSP2,-0.001795386
NPY5R,0.440323053
PROX1,-0.057864545
ZNF132,-0.30633491
IRS4,-0.114484135
HTR1E,0.011621829
RAD17,-0.011113431
CYP7A1,0.126462838
CYP4A11,0.001098872
ORCTL4,0.03315045
LECT2,-0.21218234
NCX,0.019608857
CELL,-0.011586323
SCN5A,-0.009716597
PACE4,-0.040616925
PLA2R1,-1.299270202
NFATC3,0.018148919
ZNF177,-0.015272132
DDO,0.005671907
RAC2,0.029233186
COLEC10,0.014654265
CA5A,0.100642754
ADAM20,0.088691573
MYF5,-0.10836267
MSF,-0.00723188
TNFSF4,-0.017223219
ACR,0.084932089
CDC2L1,0.026263514
SLC22A2,-0.052739947
MSMB,0.000130086
DEGS,0.131092251
FLJ20132,-0.381227104
IL10,0.122847653
FXYD2,0.016163503
SRM300,0.00292107
KIAA0894,-0.004242769
NOVA1,0.079693247
RNUT1,-0.034838915
SLC35A2,-0.008707729
SLC35A2,0.12051464
P-B,-0.025442702
CSF3,0.099626577
NR2E1,-0.446800124
ORCTL3,0.082562195
CCR9,0.001617479
TLR6,0.043727378
HGNT-IV-H,-0.000923528
KIAA0958,0.088838147
KIAA0958,-0.009124583
RPF-1,0.009718769
NKX2.8,0.069041756
CNTN5,-0.008201096
HSC40,0.038777921
GRIK3,-0.103628147
P2RY1,-0.103925564
HNF4G,0.043525588
MEGT1,-0.005209189
MGC3113,0.035315592
GYPB,0.001358276
GZMM,0.082898285
CHD3,-0.593349175
GLRA2,0.028616224
PRSS3,0.011423632
PRO0233,-0.045447517
PRO0628,-0.11164637
LOC51083,0.111357274
CAST,0.010365614
SFRP5,0.012103916
PIR,-0.072900161
DKFZp566H0824,0.117693402
PRO1992,-0.12799897
MLN,-0.016480742
FLJ20224,0.057783653
FABP2,0.241526051
PRO2015,0.040899084
PRO2958,0.046071928
PRO2007,0.052809748
LOC56908,0.00564489
PRO2832,0.275034493
CLG01,0.029631798
TIP120,0.001827837
NG36,0.019393307
BTN3A1,-0.01102351
CHN2,0.006499227
FLJ11996,0.007712388
FLJ12988,0.217632254
FLJ12331,0.162686823
FLJ13940,0.038062668
FLJ22644,0.01645215
FLJ12409,-0.123025766
SSX2,-0.000162031
ZNF76,-0.008795826
RAB28,0.04970559
MS4A1,-0.232258959
CYP2D6,0.004631351
FLJ10043,0.006409141
CASP5,0.13413199
FGF12B,-0.000291341
GUCA2B,0.080425742
TCP10,-0.13217319
